RS,celltype
1.1831684,Plasma cell
1.0506154,T cell
1.0687096,T cell
1.0135409,T cell
2.1488872,B cell
1.5360802,B cell
1.33827,B cell
0.66964597,B cell
0.9995406,T cell
1.2697096,B cell
1.5704175,B cell
1.0847894,Plasma cell
1.5177674,B cell
2.2276223,Plasma cell
1.4047734,B cell
1.0381807,T cell
1.1443282,T cell
1.3477955,T cell
1.5652373,B cell
1.081803,T cell
1.3141743,T cell
1.6319735,NK cell
1.2314,Plasma cell
0.8137722,Plasma cell
1.4525807,T cell
1.1262319,T cell
1.2154737,T cell
1.5890253,B cell
1.0204314,B cell
1.2203697,T cell
1.0463588,B cell
0.9326817,T cell
0.78604573,Plasma cell
0.9964166,T cell
1.1091017,T cell
1.0214119,T cell
1.4686191,T cell
1.3375398,Macrophage
1.1948378,pDC
0.77544016,B cell
1.7847276,Plasma cell
1.713503,Dendritic cell
1.2883329,T cell
0.88284177,T cell
1.0703293,T cell
1.6187798,B cell
1.2231121,T cell
0.98171264,T cell
1.5477167,B cell
1.2021563,Plasma cell
1.0681361,T cell
1.3115947,T cell
0.96028006,T cell
1.4604733,B cell
1.5416543,Dendritic cell
1.3281436,T cell
1.5339494,B cell
1.1727608,T cell
1.4993001,B cell
1.3786265,B cell
1.1672112,pDC
1.1995116,Macrophage
1.0868471,pDC
1.2177788,Plasma cell
1.2825085,T cell
1.2377003,NK cell
1.1391591,Plasma cell
0.7829096,B cell
1.1252638,T cell
1.3314145,Macrophage
1.2444915,Macrophage
1.7635123,T cell
1.3183181,pDC
1.5817996,T cell
1.4374703,T cell
1.4653003,NK cell
1.2218713,T cell
1.2566681,T cell
1.6839226,T cell
1.2073866,T cell
1.5296234,Macrophage
1.6640636,T cell
2.0704062,B cell
1.7299099,B cell
1.0123446,T cell
1.0920961,B cell
0.82812893,T cell
0.8074921,B cell
1.0850601,T cell
1.4228002,NK cell
1.0092427,T cell
1.3443624,T cell
1.5704677,Macrophage
1.3802888,Plasma cell
1.6020342,T cell
1.4243356,T cell
1.2625912,Plasma cell
0.91763437,T cell
0.8706825,B cell
1.1092627,Plasma cell
0.8926072,T cell
1.1480073,B cell
0.90657157,T cell
0.64107394,B cell
1.5019712,T cell
0.7709637,B cell
1.5940036,B cell
1.4948968,T cell
1.1077769,Plasma cell
1.4536319,T cell
1.0372992,T cell
0.72853553,B cell
1.2200135,B cell
1.7053052,B cell
1.0185121,T cell
1.624935,B cell
1.2365662,Macrophage
1.8451151,B cell
1.6855161,B cell
0.70325416,B cell
2.2932456,T cell
1.1022235,Macrophage
1.0379997,T cell
0.95625603,B cell
1.5287372,Macrophage
2.00936,Dendritic cell
1.6356527,Plasma cell
0.6559383,B cell
1.4895308,Plasma cell
1.2640697,T cell
1.4614661,B cell
1.4632161,B cell
1.3376063,B cell
1.7596793,B cell
1.1454929,T cell
1.032081,T cell
1.0809411,T cell
1.1463556,T cell
0.90037036,Dendritic cell
1.3113511,T cell
1.1862128,Plasma cell
1.0292659,T cell
1.1277207,T cell
1.5368748,B cell
1.4337085,T cell
1.8353249,pDC
1.322291,Dendritic cell
0.884054,Plasma cell
1.0759072,T cell
1.5703716,B cell
1.054985,T cell
1.3619511,T cell
1.6160301,T cell
1.8525803,B cell
1.1634011,T cell
1.1750851,T cell
1.0671475,Macrophage
1.4253749,NK cell
1.3696665,T cell
1.3171334,B cell
1.5445604,T cell
1.4717064,T cell
1.1773064,T cell
1.3727243,Macrophage
0.95188934,T cell
1.4113101,T cell
0.9865917,Plasma cell
1.0828304,T cell
1.3325064,T cell
1.8145349,NK cell
3.700054,B cell
1.3239455,T cell
1.5296562,B cell
1.0496503,T cell
1.0547947,T cell
1.8871852,NK cell
1.0349925,B cell
1.4268234,B cell
0.9511383,T cell
1.5779054,B cell
1.0675677,pDC
1.2941667,T cell
1.8346642,Macrophage
0.73684406,B cell
1.0899283,T cell
1.1052896,T cell
0.98675066,T cell
1.6488926,B cell
1.1732166,T cell
1.1004939,T cell
1.4290229,NK cell
1.1543577,T cell
1.0877224,T cell
2.9672933,B cell
1.0620214,T cell
1.6817241,B cell
0.8469066,B cell
0.9777945,T cell
1.8869989,B cell
0.9966304,T cell
1.3422811,Macrophage
1.0679483,pDC
1.5056232,NK cell
1.3317617,T cell
1.4612972,Dendritic cell
0.9495872,T cell
1.0418931,B cell
1.0032239,T cell
1.688486,pDC
1.0536368,B cell
1.7786531,T cell
1.2126244,T cell
1.0974461,Macrophage
1.0588888,T cell
1.390076,Plasma cell
0.9815438,T cell
0.8491421,T cell
1.5026541,B cell
1.2186382,Plasma cell
1.2566255,Macrophage
1.6696631,T cell
1.2730467,T cell
0.9609779,T cell
0.69579697,B cell
1.1982018,T cell
1.6228774,B cell
1.496794,B cell
0.99102074,T cell
1.484778,T cell
1.5192664,T cell
1.6358443,B cell
1.3266177,T cell
1.9415705,B cell
1.9527162,T cell
1.3783699,T cell
1.6533135,T cell
1.1996083,B cell
1.494358,T cell
0.9326211,Plasma cell
1.5835488,B cell
1.2456658,B cell
1.055338,B cell
0.9661995,T cell
0.62972486,B cell
1.342902,NK cell
1.1946398,T cell
1.4461994,NK cell
1.4451026,B cell
0.75182873,B cell
1.680869,T cell
