NPS,CBR,NeighborDispersion,Disruption,celltype,is_rare,batch,method
1.0,0.3333333333333333,0.1513270508004165,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.09787075272356804,0.0,gamma,0,smartseq2,Harmony
1.0,0.7,0.08309935508457994,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.10469010201096393,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.0942500080151676,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.09407180918708058,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.052502985448139715,0.0,gamma,0,smartseq2,Harmony
1.0,0.7666666666666667,0.05399998694869436,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.1012217786789965,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.0729629278434922,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08517020742277871,0.0,gamma,0,smartseq2,Harmony
1.0,0.4,0.11136654598760504,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.11108784107776457,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.0834555101408514,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.1079774528381681,0.0,gamma,0,smartseq2,Harmony
1.0,0.7,0.06857002247810261,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.07757496005413743,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.07495476711809035,0.0,gamma,0,smartseq2,Harmony
1.0,0.4666666666666667,0.07327719717858137,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.1307675993538089,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.11770382722187606,0.0,gamma,0,smartseq2,Harmony
1.0,0.3,0.06645491948280477,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.1296597783283081,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.0672869304727114,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.0869840543080424,0.0,gamma,0,smartseq2,Harmony
1.0,0.16666666666666666,0.11500176741331349,0.0,gamma,0,smartseq2,Harmony
1.0,0.23333333333333334,0.1045950178895746,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.10067449531222167,0.0,gamma,0,smartseq2,Harmony
1.0,0.6333333333333333,0.10603623331030358,0.0,gamma,0,smartseq2,Harmony
1.0,0.26666666666666666,0.10975818938972617,0.0,gamma,0,smartseq2,Harmony
1.0,0.2,0.1369218562794357,0.0,gamma,0,smartseq2,Harmony
1.0,0.6666666666666666,0.07879381491921297,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.10729271391890924,0.0,gamma,0,smartseq2,Harmony
1.0,0.7666666666666667,0.10065435454963931,0.0,gamma,0,smartseq2,Harmony
0.9545454545454546,0.26666666666666666,0.08732820102064473,0.003969463682756575,gamma,0,smartseq2,Harmony
1.0,0.13333333333333333,0.15193854148403135,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.0791554373103271,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.11110579069832302,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.08500783164582099,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.12475851991972628,0.0,gamma,0,smartseq2,Harmony
1.0,0.5,0.14065898022860274,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10072517852839813,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.08661877024846033,0.0,gamma,0,smartseq2,Harmony
0.9565217391304348,0.23333333333333334,0.11870874349930197,0.005161249717360952,gamma,0,smartseq2,Harmony
1.0,0.9333333333333333,0.0735909692844605,0.0,gamma,0,smartseq2,Harmony
1.0,0.8,0.060527761548597785,0.0,gamma,0,smartseq2,Harmony
1.0,0.3333333333333333,0.11118166240835783,0.0,gamma,0,smartseq2,Harmony
1.0,0.43333333333333335,0.10625991251263535,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10866993789882747,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.10667549125303089,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.0796883788622878,0.0,gamma,0,smartseq2,Harmony
1.0,0.5333333333333333,0.1120699347951393,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.08754858598729204,0.0,gamma,0,smartseq2,Harmony
1.0,0.6,0.08427501639936433,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.085129694491109,0.0,gamma,0,smartseq2,Harmony
1.0,0.5666666666666667,0.10657494036420827,0.0,gamma,0,smartseq2,Harmony
1.0,0.36666666666666664,0.05536296389633777,0.0,gamma,0,smartseq2,Harmony
