celltype,post_cnem,cnem_delta,method
gamma,0.2593579888343811,0.07112717628479004,Harmony
gamma,0.2837725281715393,0.0651320219039917,Harmony
gamma,0.2211531400680542,0.03104221820831299,Harmony
gamma,0.2575037479400635,-0.0022161006927490234,Harmony
gamma,0.28215545415878296,-0.006506681442260742,Harmony
gamma,0.271878182888031,0.027026236057281494,Harmony
gamma,0.19816523790359497,0.01888519525527954,Harmony
gamma,0.26573842763900757,0.00817406177520752,Harmony
gamma,0.2856818437576294,0.021680891513824463,Harmony
gamma,0.23410725593566895,0.01938760280609131,Harmony
gamma,0.23615580797195435,0.014388680458068848,Harmony
gamma,0.33969056606292725,0.0016640424728393555,Harmony
gamma,0.2262132167816162,0.010913372039794922,Harmony
gamma,0.1909673810005188,0.0004686117172241211,Harmony
gamma,0.2504093647003174,0.0002893209457397461,Harmony
gamma,0.23394876718521118,0.024066388607025146,Harmony
gamma,0.29413920640945435,0.0030838847160339355,Harmony
gamma,0.27496111392974854,0.013937711715698242,Harmony
gamma,0.24380558729171753,0.017268240451812744,Harmony
gamma,0.23696541786193848,-0.0013661384582519531,Harmony
gamma,0.2580036520957947,0.008632421493530273,Harmony
gamma,0.22696685791015625,0.009635329246520996,Harmony
gamma,0.22898519039154053,0.02407294511795044,Harmony
gamma,0.2609075903892517,0.03011864423751831,Harmony
gamma,0.25942349433898926,0.023902833461761475,Harmony
gamma,0.23260498046875,0.02102530002593994,Harmony
gamma,0.17968028783798218,0.01081007719039917,Harmony
gamma,0.22785693407058716,0.001074373722076416,Harmony
gamma,0.19531571865081787,0.0003056526184082031,Harmony
gamma,0.16613394021987915,0.0038728713989257812,Harmony
