celltype,post_cnem,cnem_delta,method
acinar,0.2578178644180298,0.03618901968002319,Harmony
acinar,0.21335500478744507,0.015583336353302002,Harmony
acinar,0.1626521348953247,0.017361044883728027,Harmony
acinar,0.21745455265045166,0.011259794235229492,Harmony
acinar,0.2075393795967102,0.01240009069442749,Harmony
acinar,0.2823178172111511,0.040302157402038574,Harmony
acinar,0.3978756070137024,0.06004589796066284,Harmony
acinar,0.23326730728149414,0.033657729625701904,Harmony
acinar,0.22348445653915405,0.0044822096824646,Harmony
acinar,0.19219297170639038,0.02141481637954712,Harmony
acinar,0.25015658140182495,0.023117423057556152,Harmony
acinar,0.15593433380126953,0.010924816131591797,Harmony
acinar,0.20637375116348267,0.04256558418273926,Harmony
acinar,0.1688060760498047,0.013151586055755615,Harmony
acinar,0.18798565864562988,0.045576512813568115,Harmony
acinar,0.18548637628555298,0.025993704795837402,Harmony
acinar,0.2031063437461853,0.0017565488815307617,Harmony
acinar,0.27388542890548706,0.017994046211242676,Harmony
acinar,0.20699602365493774,0.014890551567077637,Harmony
acinar,0.27974170446395874,0.0014271736145019531,Harmony
acinar,0.3580915927886963,0.06796294450759888,Harmony
acinar,0.24404609203338623,0.02769303321838379,Harmony
acinar,0.19188499450683594,0.018525004386901855,Harmony
acinar,0.24474340677261353,0.013268649578094482,Harmony
acinar,0.27988332509994507,0.06247127056121826,Harmony
acinar,0.2208106517791748,0.01631951332092285,Harmony
acinar,0.23897325992584229,0.01809030771255493,Harmony
acinar,0.16890907287597656,0.010068655014038086,Harmony
acinar,0.16168582439422607,0.007858991622924805,Harmony
acinar,0.2726008892059326,0.059297025203704834,Harmony
acinar,0.17657357454299927,0.018248260021209717,Harmony
acinar,0.2807186245918274,0.02434629201889038,Harmony
acinar,0.23957288265228271,0.02782750129699707,Harmony
acinar,0.3093247413635254,0.04584932327270508,Harmony
acinar,0.23500549793243408,0.01371920108795166,Harmony
acinar,0.21809732913970947,0.012972891330718994,Harmony
acinar,0.24199944734573364,0.01595073938369751,Harmony
acinar,0.23047477006912231,0.027171075344085693,Harmony
acinar,0.18937450647354126,0.02056807279586792,Harmony
acinar,0.22835850715637207,0.0012685060501098633,Harmony
acinar,0.2539079785346985,0.018229126930236816,Harmony
acinar,0.2222893238067627,0.006766080856323242,Harmony
acinar,0.2413533329963684,0.015353977680206299,Harmony
