post_cnem,pre_cnem,celltype,is_rare,batch
0.15243948,0.1512171,Dendritic cell,0,D100
0.10692525,0.106927395,Macrophage,0,D100
0.15706956,0.1431061,Dendritic cell,0,D100
0.123830795,0.12923324,Macrophage,0,D100
0.15683103,0.16201365,Macrophage,0,D100
0.14154464,0.15053481,Dendritic cell,0,D100
0.13455784,0.13243973,Macrophage,0,D100
0.12144333,0.1269623,Macrophage,0,D100
0.2522576,0.2593807,T cell,0,D100
0.22958839,0.22674137,Plasma cell,0,D100
0.12772536,0.12928319,Macrophage,0,D100
0.14546013,0.15106696,Macrophage,0,D100
0.13773757,0.13576102,Macrophage,0,D100
0.120890856,0.119591,Macrophage,0,D100
0.16061246,0.16882885,Macrophage,0,D100
0.13467097,0.13708842,Dendritic cell,0,D100
0.1742847,0.17815924,Dendritic cell,0,D100
0.20295411,0.19999337,Dendritic cell,0,D100
0.2825749,0.27681231,T cell,0,D100
0.13697743,0.14317691,Macrophage,0,D100
0.14025664,0.14455593,Dendritic cell,0,D100
0.18614876,0.18717116,Macrophage,0,D100
0.122231245,0.12202835,Macrophage,0,D100
0.12743533,0.13234848,Dendritic cell,0,D100
0.1293596,0.13659567,Macrophage,0,D100
0.14189696,0.1423263,Dendritic cell,0,D100
0.14796507,0.14662635,Macrophage,0,D100
0.16319954,0.17018962,Dendritic cell,0,D100
0.15497315,0.15583026,Dendritic cell,0,D100
0.13645071,0.13772035,Macrophage,0,D100
0.118771434,0.12425512,Macrophage,0,D100
0.08396608,0.09445,Macrophage,0,D100
0.12745762,0.13885278,Dendritic cell,0,D100
0.14506894,0.14261746,Dendritic cell,0,D100
0.12903142,0.13506305,Dendritic cell,0,D100
0.1380688,0.15117496,Macrophage,0,D100
0.14493424,0.1547811,Macrophage,0,D100
0.1334641,0.14113724,Macrophage,0,D100
0.21782899,0.2160765,Macrophage,0,D100
0.13628113,0.14532018,Dendritic cell,0,D100
0.1780091,0.18251693,Macrophage,0,D100
0.12927067,0.12760329,Macrophage,0,D100
0.17657363,0.1804465,Dendritic cell,0,D100
0.12578726,0.12754273,Dendritic cell,0,D100
0.124188066,0.13055927,Dendritic cell,0,D100
0.1291722,0.13397336,Macrophage,0,D100
0.19353604,0.17330426,Macrophage,0,D100
0.1379224,0.14607954,Macrophage,0,D100
0.19491899,0.19120109,Macrophage,0,D100
0.14063287,0.14180791,Dendritic cell,0,D100
0.12838626,0.12669319,Macrophage,0,D100
0.11146945,0.12098348,Macrophage,0,D100
0.13464248,0.1406169,Macrophage,0,D100
0.117431045,0.12173104,Macrophage,0,D100
0.14424717,0.14264828,Macrophage,0,D100
0.1333654,0.13923287,Dendritic cell,0,D100
0.1441791,0.15030056,Dendritic cell,0,D100
0.19745362,0.19071949,Macrophage,0,D100
0.15915132,0.16224635,Macrophage,0,D100
0.12966084,0.12617421,Macrophage,0,D100
0.15122843,0.15497124,Macrophage,0,D100
0.17805696,0.18248081,Macrophage,0,D100
0.1265297,0.13529372,Macrophage,0,D100
0.26609552,0.26522803,T cell,0,D100
0.14021343,0.151977,Dendritic cell,0,D100
0.19101644,0.1857487,Dendritic cell,0,D100
0.14419019,0.1475637,Macrophage,0,D100
0.13224429,0.14018112,Dendritic cell,0,D100
0.16019481,0.16328537,Macrophage,0,D100
0.1568715,0.15769804,Macrophage,0,D100
0.13407838,0.13369024,Dendritic cell,0,D100
0.15042084,0.15160084,Dendritic cell,0,D100
0.12281096,0.12240493,Macrophage,0,D100
0.30229884,0.3014648,T cell,0,D100
0.12479514,0.13454545,Macrophage,0,D100
0.12628746,0.12829131,Macrophage,0,D100
0.1392188,0.14212084,Macrophage,0,D100
0.1640029,0.16933489,Macrophage,0,D100
0.13916254,0.13786024,Macrophage,0,D100
0.15686738,0.16697836,Macrophage,0,D100
0.105035305,0.10956466,Macrophage,0,D100
0.13378239,0.13505358,Macrophage,0,D100
0.18147516,0.18199706,Macrophage,0,D100
0.11895871,0.12244588,Macrophage,0,D100
0.15570664,0.16318542,Dendritic cell,0,D100
0.15002578,0.14120173,Macrophage,0,D100
0.2053181,0.2046156,Macrophage,0,D100
0.2820043,0.27333933,T cell,0,D100
0.120461345,0.12197304,Macrophage,0,D100
0.12373161,0.12856555,Macrophage,0,D100
0.1653881,0.17137629,Macrophage,0,D100
0.1282872,0.13422072,Macrophage,0,D100
0.11253911,0.113667965,Macrophage,0,D100
0.13663995,0.13002431,Macrophage,0,D100
0.19127762,0.18485337,Dendritic cell,0,D100
0.14017957,0.14087248,Macrophage,0,D100
0.17948246,0.19409561,Dendritic cell,0,D100
0.17454708,0.17328125,Macrophage,0,D100
0.13453162,0.1362871,Dendritic cell,0,D100
0.1464262,0.14871794,Macrophage,0,D100
0.14259827,0.14682692,Dendritic cell,0,D100
0.15339136,0.15397292,Macrophage,0,D100
0.16097176,0.15197259,Dendritic cell,0,D100
0.13560086,0.13663065,Macrophage,0,D100
0.19557059,0.19477451,Dendritic cell,0,D100
0.1281625,0.13253558,Macrophage,0,D100
0.136545,0.1358273,Dendritic cell,0,D100
0.11664188,0.119397044,Macrophage,0,D100
0.1601029,0.16491812,Macrophage,0,D100
0.20008218,0.20987517,Dendritic cell,0,D100
0.12712729,0.12596858,Macrophage,0,D100
0.19723684,0.20242786,Dendritic cell,0,D100
0.14685929,0.15010476,Dendritic cell,0,D100
0.15865177,0.15472436,Dendritic cell,0,D100
0.16281998,0.1645276,Macrophage,0,D100
0.17895937,0.18174422,Dendritic cell,0,D100
