post_cnem,pre_cnem,celltype,is_rare,batch
0.21903455,0.20096922,pDC,1,D5
0.31798315,0.2591303,Plasma cell,0,D5
0.2105254,0.15423441,Dendritic cell,0,D5
0.3358723,0.2453208,B cell,0,D5
0.24750483,0.18425667,T cell,0,D5
0.28060055,0.1707055,B cell,0,D5
0.19275033,0.18535548,T cell,0,D5
0.27039468,0.19777912,B cell,0,D5
0.18324667,0.16469312,B cell,0,D5
0.22083032,0.17511022,Dendritic cell,0,D5
0.35519856,0.36444253,T cell,0,D5
0.34805572,0.24107867,Dendritic cell,0,D5
0.1941765,0.14739347,T cell,0,D5
0.30553162,0.31533897,NK cell,0,D5
0.28660727,0.24998033,T cell,0,D5
0.32686925,0.17159796,B cell,0,D5
0.26211232,0.2020148,pDC,1,D5
0.3432638,0.3120178,T cell,0,D5
0.24081433,0.19093263,Dendritic cell,0,D5
0.38617027,0.30835402,T cell,0,D5
0.28986508,0.21354347,B cell,0,D5
0.27093393,0.25454843,NK cell,0,D5
0.27613735,0.24492049,T cell,0,D5
0.43907875,0.38744712,Plasma cell,0,D5
0.32240766,0.31677496,T cell,0,D5
0.1721068,0.15058362,Dendritic cell,0,D5
0.28225338,0.2630235,T cell,0,D5
0.23091471,0.18413669,T cell,0,D5
0.2975095,0.2395376,B cell,0,D5
0.2852496,0.2723999,B cell,0,D5
0.1998213,0.18335223,T cell,0,D5
0.2086569,0.18300045,pDC,1,D5
0.15981793,0.15100455,Macrophage,0,D5
0.2619921,0.23302531,T cell,0,D5
0.21533036,0.10850477,B cell,0,D5
0.17250323,0.15231663,Macrophage,0,D5
0.23220778,0.21436548,T cell,0,D5
0.33991575,0.22308147,Plasma cell,0,D5
0.3706398,0.29371893,T cell,0,D5
0.29858828,0.257537,T cell,0,D5
0.16079909,0.115377665,Macrophage,0,D5
0.26884574,0.1437794,B cell,0,D5
0.24957573,0.19986677,Plasma cell,0,D5
0.24345243,0.21471441,B cell,0,D5
0.2384656,0.20460653,B cell,0,D5
0.36546195,0.26178813,B cell,0,D5
0.2821808,0.2055391,B cell,0,D5
0.37045395,0.288096,T cell,0,D5
0.3310057,0.286363,T cell,0,D5
0.32616723,0.3024447,T cell,0,D5
0.23886132,0.19589925,T cell,0,D5
0.26429772,0.21538222,T cell,0,D5
0.31672674,0.21419084,Plasma cell,0,D5
0.3104694,0.2429347,B cell,0,D5
0.19202948,0.17615038,Dendritic cell,0,D5
0.24226522,0.21721941,Plasma cell,0,D5
0.20869458,0.1786735,pDC,1,D5
0.35768044,0.32368922,T cell,0,D5
0.2420665,0.22687316,Plasma cell,0,D5
0.28357208,0.25175732,T cell,0,D5
0.33744836,0.29438818,T cell,0,D5
0.35848337,0.20277911,Plasma cell,0,D5
0.4253075,0.3423419,pDC,1,D5
0.29340816,0.28056812,T cell,0,D5
0.26775718,0.15186024,B cell,0,D5
0.285559,0.20512068,T cell,0,D5
0.28648007,0.2869842,T cell,0,D5
0.33704168,0.2089454,Plasma cell,0,D5
0.37762713,0.26801634,B cell,0,D5
0.28928363,0.23944485,T cell,0,D5
0.17912716,0.15383828,Macrophage,0,D5
0.31376117,0.3164007,T cell,0,D5
0.26820493,0.2577862,T cell,0,D5
0.3194232,0.19695711,Plasma cell,0,D5
0.31580752,0.24121517,T cell,0,D5
0.14625871,0.13144517,Macrophage,0,D5
0.33546257,0.31478494,T cell,0,D5
0.35866702,0.3168648,T cell,0,D5
0.25986612,0.2516352,T cell,0,D5
0.3396356,0.28499657,T cell,0,D5
0.32349014,0.22246331,B cell,0,D5
0.3202656,0.28235042,T cell,0,D5
0.1727286,0.13009,Macrophage,0,D5
0.29981428,0.20434278,Dendritic cell,0,D5
0.18552125,0.15582848,Macrophage,0,D5
0.41965634,0.36101067,T cell,0,D5
0.3462581,0.21171796,Plasma cell,0,D5
0.33250123,0.27992505,T cell,0,D5
0.3268206,0.26568377,B cell,0,D5
0.3365376,0.27017546,T cell,0,D5
0.36652875,0.29184163,T cell,0,D5
0.30078018,0.2363221,T cell,0,D5
0.30054176,0.20239949,Plasma cell,0,D5
0.27171087,0.2005986,B cell,0,D5
0.39735603,0.26641446,Plasma cell,0,D5
0.24820846,0.18002224,T cell,0,D5
0.28401548,0.2153492,Plasma cell,0,D5
0.3832749,0.30418998,pDC,1,D5
0.46269894,0.31017357,B cell,0,D5
0.3479941,0.34004152,T cell,0,D5
0.27161074,0.24370861,T cell,0,D5
0.34076154,0.29986763,T cell,0,D5
0.3505376,0.33917618,T cell,0,D5
0.17689443,0.15659195,Dendritic cell,0,D5
0.43959498,0.37858832,T cell,0,D5
0.34039474,0.32452595,T cell,0,D5
0.36983132,0.2985977,T cell,0,D5
0.19566834,0.1790098,Macrophage,0,D5
0.22463071,0.1903159,Plasma cell,0,D5
0.3164009,0.27393663,B cell,0,D5
0.32304692,0.32374626,NK cell,0,D5
0.38122272,0.35356724,T cell,0,D5
0.27394843,0.2471484,B cell,0,D5
0.26052803,0.18792695,Macrophage,0,D5
0.22105265,0.17057347,Dendritic cell,0,D5
0.1660068,0.15228224,Dendritic cell,0,D5
0.15352452,0.15491319,Macrophage,0,D5
0.12997484,0.10039806,Macrophage,0,D5
0.23109436,0.19557357,pDC,1,D5
0.30216074,0.227041,B cell,0,D5
0.43900615,0.3747871,T cell,0,D5
0.18892354,0.15818667,Dendritic cell,0,D5
0.30214393,0.16459608,B cell,0,D5
0.3239652,0.27334273,Plasma cell,0,D5
0.35952014,0.28741968,T cell,0,D5
0.2870341,0.23822463,T cell,0,D5
0.29136407,0.23998898,T cell,0,D5
0.25532216,0.24868286,T cell,0,D5
0.2111721,0.19386423,Macrophage,0,D5
0.28062886,0.23420781,B cell,0,D5
0.35218865,0.29482263,B cell,0,D5
0.30472064,0.26655114,T cell,0,D5
0.33949476,0.2770185,B cell,0,D5
0.18952888,0.14841598,B cell,0,D5
0.25554883,0.242701,T cell,0,D5
0.3670215,0.258525,B cell,0,D5
0.31072223,0.22879088,Plasma cell,0,D5
0.30991036,0.19962215,Plasma cell,0,D5
0.3543718,0.29861915,T cell,0,D5
0.27771628,0.23976457,T cell,0,D5
0.41495633,0.34838033,B cell,0,D5
0.46432614,0.36649394,B cell,0,D5
0.35686022,0.2781341,T cell,0,D5
0.41968876,0.33911842,T cell,0,D5
0.22673464,0.19632077,B cell,0,D5
0.26959276,0.2465223,Plasma cell,0,D5
0.17396331,0.12148726,Macrophage,0,D5
0.3343613,0.2268691,B cell,0,D5
0.35510272,0.26953143,B cell,0,D5
0.32463944,0.2920978,T cell,0,D5
0.3559047,0.27327108,T cell,0,D5
0.48841494,0.3102942,Plasma cell,0,D5
0.35000288,0.30196524,Plasma cell,0,D5
0.27893335,0.23911572,T cell,0,D5
0.35489208,0.18050742,B cell,0,D5
0.26899981,0.25135338,B cell,0,D5
0.3575734,0.27063715,B cell,0,D5
0.3022194,0.25749266,B cell,0,D5
0.29424697,0.26823372,T cell,0,D5
0.35828328,0.29990423,T cell,0,D5
0.40880477,0.3843062,T cell,0,D5
0.25720918,0.23893178,B cell,0,D5
0.37721264,0.3661114,T cell,0,D5
0.36776483,0.22595763,Plasma cell,0,D5
0.39619726,0.3249879,T cell,0,D5
0.31774902,0.26374972,T cell,0,D5
0.29421556,0.26388842,T cell,0,D5
0.43328094,0.39249182,B cell,0,D5
0.33312505,0.17959666,B cell,0,D5
0.34130907,0.25573063,B cell,0,D5
0.34465146,0.19548595,B cell,0,D5
0.40612924,0.31852674,T cell,0,D5
0.30002618,0.2899717,B cell,0,D5
0.24581623,0.22462815,B cell,0,D5
0.32295924,0.21117938,Plasma cell,0,D5
0.29271424,0.20456016,B cell,0,D5
0.27529585,0.19762975,Plasma cell,0,D5
0.26775968,0.23772418,B cell,0,D5
0.2842419,0.22883654,T cell,0,D5
0.42082995,0.35434538,T cell,0,D5
0.251648,0.24624157,T cell,0,D5
0.26279414,0.23260444,B cell,0,D5
0.3452168,0.3152157,T cell,0,D5
0.2638104,0.25459176,T cell,0,D5
0.28639448,0.2632246,NK cell,0,D5
0.40153593,0.263247,Plasma cell,0,D5
0.37052113,0.25624573,Plasma cell,0,D5
0.30882466,0.2918108,T cell,0,D5
0.395998,0.33729875,T cell,0,D5
0.291327,0.28494906,T cell,0,D5
0.30155838,0.25330698,B cell,0,D5
0.38463664,0.30493498,B cell,0,D5
0.34630108,0.2811581,T cell,0,D5
0.41494477,0.31594813,B cell,0,D5
0.3352986,0.28497946,T cell,0,D5
0.23714137,0.10313517,Plasma cell,0,D5
0.37546313,0.31768584,T cell,0,D5
0.33160043,0.31400907,T cell,0,D5
0.4052329,0.35398442,T cell,0,D5
0.27164906,0.23878002,T cell,0,D5
0.16728127,0.13443911,Macrophage,0,D5
0.18917358,0.17878449,pDC,1,D5
0.30976093,0.21597576,B cell,0,D5
0.30212873,0.19903564,Plasma cell,0,D5
0.15776026,0.13931149,Dendritic cell,0,D5
0.38159144,0.35195613,T cell,0,D5
0.3503725,0.3150891,T cell,0,D5
0.33430636,0.2866819,T cell,0,D5
0.24502182,0.19260198,B cell,0,D5
0.29182506,0.26184464,T cell,0,D5
0.30296117,0.26898658,T cell,0,D5
0.22722197,0.19725782,B cell,0,D5
0.30254996,0.22594452,Plasma cell,0,D5
0.36384815,0.318339,T cell,0,D5
0.26298195,0.23604846,T cell,0,D5
0.3424186,0.26603556,T cell,0,D5
0.3408931,0.27514672,B cell,0,D5
0.27765024,0.23250496,Dendritic cell,0,D5
0.29942894,0.28765106,T cell,0,D5
0.29265893,0.24754447,B cell,0,D5
0.24671012,0.23744595,T cell,0,D5
0.21958041,0.19582039,B cell,0,D5
0.32185447,0.26426053,B cell,0,D5
0.22337294,0.18115401,pDC,1,D5
0.15012938,0.119763315,Macrophage,0,D5
0.2509228,0.19687665,pDC,1,D5
0.3222717,0.2663877,Plasma cell,0,D5
0.3371157,0.32656527,T cell,0,D5
0.2731278,0.24440104,NK cell,0,D5
0.30543786,0.23542309,Plasma cell,0,D5
0.26368278,0.22029006,B cell,0,D5
0.41854578,0.3750229,T cell,0,D5
0.16423666,0.13587189,Macrophage,0,D5
0.13695157,0.13208061,Macrophage,0,D5
0.31811273,0.2721374,T cell,0,D5
0.247414,0.2345835,pDC,1,D5
0.33580703,0.3028884,T cell,0,D5
0.35454535,0.34926087,T cell,0,D5
0.29526103,0.2966975,NK cell,0,D5
0.3441748,0.29341644,T cell,0,D5
0.34568852,0.3227731,T cell,0,D5
0.24282277,0.23604083,T cell,0,D5
0.31366765,0.28052545,T cell,0,D5
0.28064334,0.21151996,Macrophage,0,D5
0.29035008,0.25631088,T cell,0,D5
0.23579955,0.19639945,B cell,0,D5
0.36835337,0.30340898,B cell,0,D5
0.36424792,0.33657163,T cell,0,D5
0.3257689,0.2551716,B cell,0,D5
0.30970466,0.29572392,T cell,0,D5
0.3078227,0.22714502,B cell,0,D5
0.3665142,0.35516214,T cell,0,D5
0.30664253,0.28883415,NK cell,0,D5
0.30422306,0.23370177,T cell,0,D5
0.29335654,0.26770258,T cell,0,D5
0.16696215,0.14976585,Macrophage,0,D5
0.3098532,0.22371328,Plasma cell,0,D5
0.21659279,0.18211806,T cell,0,D5
0.26053476,0.2231965,T cell,0,D5
0.21165931,0.13829237,Plasma cell,0,D5
0.30943137,0.27908623,T cell,0,D5
0.23251808,0.12328935,B cell,0,D5
0.3189875,0.22995812,Plasma cell,0,D5
0.38366675,0.34340543,T cell,0,D5
0.25572568,0.22062564,B cell,0,D5
0.34886932,0.32820296,T cell,0,D5
0.23687875,0.11707485,B cell,0,D5
0.3450591,0.32471633,T cell,0,D5
0.3766623,0.22163653,B cell,0,D5
0.3415814,0.29072374,B cell,0,D5
0.2536549,0.21899158,T cell,0,D5
0.35399282,0.25212783,Plasma cell,0,D5
0.25781488,0.2251569,T cell,0,D5
0.3135848,0.2365238,T cell,0,D5
0.34432852,0.23553956,B cell,0,D5
0.3317765,0.26265275,B cell,0,D5
0.2814896,0.25008702,B cell,0,D5
0.36936677,0.34666204,T cell,0,D5
0.26635772,0.24579215,B cell,0,D5
0.2131682,0.16217077,Macrophage,0,D5
0.2573372,0.22032917,B cell,0,D5
0.26302338,0.23552454,B cell,0,D5
0.30015028,0.2204243,B cell,0,D5
0.27556914,0.24746656,T cell,0,D5
0.17977536,0.10826826,Macrophage,0,D5
0.38952446,0.35680568,T cell,0,D5
0.36279368,0.18865752,B cell,0,D5
0.35086942,0.25755095,Macrophage,0,D5
0.2129103,0.19633067,Dendritic cell,0,D5
0.27135372,0.20891416,Plasma cell,0,D5
0.35813832,0.24779081,B cell,0,D5
0.34236866,0.21268451,Plasma cell,0,D5
