cluster,size,survival_std,survival_sel,improvement
Macrophage_24,520,0.7788461538461539,0.9403846153846154,0.16153846153846152
Dendritic cell_13,152,0.875,0.9605263157894737,0.08552631578947367
NK cell_16,49,0.9183673469387755,1.0,0.08163265306122447
NK cell_8,278,0.9172661870503597,0.935251798561151,0.017985611510791366
T cell_15,812,0.9002463054187192,0.9667487684729064,0.06650246305418717
Dendritic cell_2,722,0.7077562326869806,0.9279778393351801,0.22022160664819945
Macrophage_12,1081,0.4967622571692877,0.8075855689176689,0.3108233117483812
Dendritic cell_15,140,0.9428571428571428,0.75,-0.19285714285714284
Macrophage_19,778,0.29048843187660667,0.8033419023136247,0.512853470437018
B cell_1,820,0.6036585365853658,0.7817073170731708,0.17804878048780493
T cell_18,670,0.5059701492537313,0.9313432835820895,0.4253731343283582
Dendritic cell_11,185,0.7513513513513513,0.9351351351351351,0.1837837837837838
pDC_10,42,0.9285714285714286,0.9761904761904762,0.04761904761904756
Mast_11,44,0.2727272727272727,0.45454545454545453,0.18181818181818182
B cell_13,230,0.8869565217391304,0.908695652173913,0.021739130434782594
Macrophage_11,1331,0.3395942900075131,0.9564237415477085,0.6168294515401953
Dendritic cell_17,129,0.3798449612403101,0.7751937984496124,0.39534883720930236
Mast_8,91,0.7912087912087912,1.0,0.20879120879120883
pDC_9,50,0.96,1.0,0.040000000000000036
Plasma cell_12,150,0.96,0.9933333333333333,0.033333333333333326
pDC_4,187,0.46524064171123,0.9572192513368984,0.4919786096256685
Plasma cell_15,127,0.44881889763779526,0.5748031496062992,0.12598425196850394
Dendritic cell_5,481,0.6735966735966736,0.814968814968815,0.14137214137214138
pDC_5,111,0.5135135135135135,0.9009009009009009,0.3873873873873874
NK cell_4,444,0.545045045045045,0.9391891891891891,0.3941441441441441
B cell_9,302,0.5066225165562914,0.9635761589403974,0.45695364238410596
Dendritic cell_20,57,0.47368421052631576,0.6491228070175439,0.17543859649122812
Dendritic cell_6,468,0.7841880341880342,0.8952991452991453,0.11111111111111116
pDC_1,205,0.7170731707317073,0.9707317073170731,0.25365853658536586
T cell_21,504,0.9404761904761905,0.9583333333333334,0.017857142857142905
Macrophage_15,884,0.8280542986425339,0.8914027149321267,0.06334841628959287
Dendritic cell_19,57,0.24561403508771928,0.49122807017543857,0.24561403508771928
T cell_24,248,0.875,0.9637096774193549,0.08870967741935487
pDC_13,14,1.0,1.0,0.0
